"pos","pick","fitted_cost","n_cost","mean_cost","last_cost","var_cost","range_cost","fitted_points","last_points","n_points","mean_points","var_points","range_points","cluster","mean_cluster_cost","range_cluster_cost","mean_cluster_points","range_cluster_points","range_cluster_picks"
"QB",21,10.6478723655947,3,9.7,17,56.3,"2, 17",12.9413014000291,16.68,3,14.1,5.4,"12.2, 16.7",6,6,"1, 13",13.2,"12.1, 14.5","18, 29"
"QB",22,6.79785561132956,3,7.7,10,34.3,"1, 12",14.0014596948209,17.93625,3,15.6,4.3,"14.1, 17.9",6,6,"1, 13",13.2,"12.1, 14.5","18, 29"
"QB",23,5.20324433370849,3,1.3,1,0.3,"1, 2",14.5099810894892,12.93,3,11.2,12.5,"7.2, 13.6",6,6,"1, 13",13.2,"12.1, 14.5","18, 29"
"QB",24,3.88246414875349,3,6.7,18,96.3,"1, 18",13.437254352793,17.5477777777778,3,17.4,29.9,"11.9, 22.8",6,6,"1, 13",13.2,"12.1, 14.5","18, 29"
"QB",25,3.02184845665634,1,6,6,NA,"6, 6",13.1735380532698,7.61,2,9.7,9,"7.6, 11.9",6,6,"1, 13",13.2,"12.1, 14.5","18, 29"
"QB",26,2.42275612695533,1,1,1,NA,"1, 1",12.996644526563,5.45666666666667,1,5.5,NA,"5.5, 5.5",6,6,"1, 13",13.2,"12.1, 14.5","18, 29"
"QB",27,1.88458683937374,1,2,2,NA,"2, 2",12.9506230652458,15.7085714285714,1,15.7,NA,"15.7, 15.7",6,6,"1, 13",13.2,"12.1, 14.5","18, 29"
"QB",28,1.34537343956147,1,1,1,NA,"1, 1",13.0093746742457,15.9923076923077,1,16,NA,"16, 16",6,6,"1, 13",13.2,"12.1, 14.5","18, 29"
"QB",29,0.895131846239597,1,1,1,NA,"1, 1",13.2083407465961,12.155,1,12.2,NA,"12.2, 12.2",6,6,"1, 13",13.2,"12.1, 14.5","18, 29"
"RB",1,106.828668320301,2,108,102,72,"102, 114",14.4043896277372,10.7125,5,14.5,5.9,"10.7, 17.3",13,107,"107, 107",14.4,"14.4, 14.4","1, 1"
"RB",2,100.418148342193,4,102.5,97,27.7,"97, 107",13.894685100532,9.3,5,13.1,13,"9.3, 17.3",4,97,"94, 100",13.7,"13.5, 13.9","2, 3"
